id	term
Chr0G022380	GO:0003723
Chr0G022380	GO:0003735
Chr0G022380	GO:0005730
Chr0G022380	GO:0005886
Chr0G022380	GO:0006412
Chr0G022380	GO:0009570
Chr0G022380	GO:0022627
Chr23G019050	GO:0016023
Chr15G025570	GO:0016023
Chr04G018130	GO:0016023
Chr05G001480	GO:0004601
Chr05G001480	GO:0005739
Chr05G001480	GO:0006979
Chr05G001480	GO:0020037
Chr05G001480	GO:0046872
Chr05G001480	GO:0055114
Chr04G001770	GO:0000079
Chr04G001770	GO:0005515
Chr04G022450	GO:0009536
Chr10G012310	GO:0005524
Chr10G012310	GO:0005618
Chr10G012310	GO:0005635
Chr10G012310	GO:0005730
Chr10G012310	GO:0005819
Chr10G012310	GO:0005886
Chr10G012310	GO:0009524
Chr10G012310	GO:0009846
Chr10G012310	GO:0009860
Chr10G012310	GO:0017111
Chr10G012310	GO:0022626
Chr10G012310	GO:0042802
Chr10G012310	GO:0046686
Chr10G012310	GO:0051301
Chr20G009460	GO:0009793
Chr24G013980	GO:0000278
Chr24G013980	GO:0006260
Chr24G013980	GO:0016458
Chr24G013980	GO:0022402
Chr24G013980	GO:0034968
Chr24G013980	GO:0035184
Chr24G013980	GO:0035405
Chr24G013980	GO:0048438
Chr24G013980	GO:0048449
Chr24G013980	GO:0048827
Chr24G013980	GO:0051726
Chr29G006560	GO:0005739
Chr29G006560	GO:0006301
Chr29G006560	GO:0006886
Chr29G006560	GO:0008565
Chr29G006560	GO:0030125
Chr22G009920	GO:0005544
Chr22G009920	GO:0010186
Chr22G009920	GO:0019725
Chr22G009920	GO:0060548
Chr24G005880	GO:0005544
Chr24G005880	GO:0010186
Chr24G005880	GO:0019725
Chr24G005880	GO:0060548
Chr05G009610	GO:0005544
Chr05G009610	GO:0010186
Chr05G009610	GO:0019725
Chr05G009610	GO:0060548
Chr12G036650	GO:0004713
Chr12G036650	GO:0005524
Chr12G036650	GO:0005634
Chr12G036650	GO:0005829
Chr12G036650	GO:0005985
Chr12G036650	GO:0006468
Chr12G036650	GO:0006636
Chr12G036650	GO:0009414
Chr12G036650	GO:0009651
Chr12G036650	GO:0009739
Chr12G036650	GO:0009789
Chr12G036650	GO:0009931
Chr12G036650	GO:0010029
Chr12G036650	GO:0010119
Chr12G036650	GO:0019432
Chr12G036650	GO:0040007
Chr12G036650	GO:0042742
Chr12G036650	GO:0042744
Chr12G036650	GO:0048366
Chr12G036650	GO:2000377
Chr04G000100	GO:0003700
Chr04G000100	GO:0005634
Chr04G000100	GO:0008270
Chr04G000100	GO:0043565
Chr04G000100	GO:0045893
Chr08G020100	GO:0010181
Chr08G020100	GO:0016491
Chr08G020100	GO:0055114
Chr09G017100	GO:0005097
Chr09G017100	GO:0032851
Chr18G017120	GO:0003682
Chr09G002930	GO:0003682
Chr09G022350	GO:0003682
Chr10G011610	GO:0003682
Chr07G016620	GO:0004040
Chr07G016620	GO:0006487
Chr07G016620	GO:0006635
Chr07G016620	GO:0006869
Chr07G016620	GO:0006891
Chr07G016620	GO:0010351
Chr07G016620	GO:0016558
Chr07G016620	GO:0016884
Chr05G027170	GO:0004040
Chr05G027170	GO:0006487
Chr05G027170	GO:0006635
Chr05G027170	GO:0006869
Chr05G027170	GO:0006891
Chr05G027170	GO:0010351
Chr05G027170	GO:0016558
Chr05G027170	GO:0016884
Chr03G001060	GO:0004040
Chr03G001060	GO:0006487
Chr03G001060	GO:0006635
Chr03G001060	GO:0006869
Chr03G001060	GO:0006891
Chr03G001060	GO:0010351
Chr03G001060	GO:0016558
Chr03G001060	GO:0016884
Chr29G010860	GO:0003677
Chr29G010860	GO:0003682
Chr29G010860	GO:0006310
Chr29G010860	GO:0006333
Chr29G010860	GO:0016023
Chr06G001070	GO:0008080
Chr04G031790	GO:0016788
Chr13G000320	GO:0005506
Chr13G000320	GO:0005739
Chr13G000320	GO:0016706
Chr13G000320	GO:0031418
Chr13G000320	GO:0055114
Chr07G016700	GO:0005739
Chr09G011500	GO:0009651
Chr09G011500	GO:0016023
Chr23G012710	GO:0016788
Chr23G001780	GO:0005516
Chr23G001780	GO:0005739
Chr23G001780	GO:0009734
Chr01G022220	GO:0005516
Chr01G022220	GO:0005739
Chr01G022220	GO:0009734
Chr17G009050	GO:0005516
Chr17G009050	GO:0005739
Chr17G009050	GO:0009734
Chr06G020160	GO:0003924
Chr06G020160	GO:0005525
Chr06G020160	GO:0005829
Chr06G020160	GO:0006184
Chr06G020160	GO:0042254
Chr10G019270	GO:0003677
Chr10G019270	GO:0003899
Chr10G019270	GO:0005739
Chr10G019270	GO:0006351
Chr10G019270	GO:0009507
Chr16G002120	GO:0003677
Chr16G002120	GO:0003899
Chr16G002120	GO:0005739
Chr16G002120	GO:0006351
Chr16G002120	GO:0009507
Chr05G021570	GO:0003677
Chr05G021570	GO:0003899
Chr05G021570	GO:0005739
Chr05G021570	GO:0006351
Chr05G021570	GO:0009507
Chr03G018610	GO:0004124
Chr03G018610	GO:0006535
Chr03G018610	GO:0009507
Chr03G018610	GO:0009643
Chr03G018610	GO:0010310
Chr03G018610	GO:0015979
Chr03G018610	GO:0016740
Chr03G018610	GO:0030170
Chr03G018610	GO:0031977
Chr03G018610	GO:0090322
Chr01G013490	GO:0005507
Chr01G013490	GO:0008270
Chr01G013490	GO:0045735
Chr12G027790	GO:0008270
Chr12G027790	GO:0016787
Chr12G027790	GO:0043130
Chr12G027790	GO:0046621
Chr12G027790	GO:0048317
Chr12G027790	GO:0048482
Chr24G010470	GO:0004698
Chr24G010470	GO:0005509
Chr24G010470	GO:0005524
Chr24G010470	GO:0005634
Chr24G010470	GO:0005737
Chr24G010470	GO:0005886
Chr24G010470	GO:0006468
Chr24G010470	GO:0009651
Chr24G010470	GO:0009738
Chr08G020270	GO:0000278
Chr08G020270	GO:0000724
Chr08G020270	GO:0005634
Chr08G020270	GO:0006270
Chr08G020270	GO:0006275
Chr08G020270	GO:0006306
Chr08G020270	GO:0006334
Chr08G020270	GO:0006355
Chr08G020270	GO:0008283
Chr08G020270	GO:0009555
Chr08G020270	GO:0009934
Chr08G020270	GO:0010026
Chr08G020270	GO:0010448
Chr08G020270	GO:0010449
Chr08G020270	GO:0016444
Chr08G020270	GO:0031047
Chr08G020270	GO:0031507
Chr08G020270	GO:0033186
Chr08G020270	GO:0042393
Chr08G020270	GO:0045787
Chr08G020270	GO:0048366
Chr05G026190	GO:0016023
Chr05G014130	GO:0016023
Chr05G034050	GO:0043231
Chr0G032380	GO:0005507
Chr0G032380	GO:0005524
Chr0G032380	GO:0005739
Chr0G032380	GO:0006457
Chr0G032380	GO:0009409
Chr0G032380	GO:0009535
Chr0G032380	GO:0009570
Chr0G032380	GO:0009941
Chr0G032380	GO:0046686
Chr0G032380	GO:0048046
Chr17G000170	GO:0000166
Chr17G000170	GO:0000724
Chr17G000170	GO:0005634
Chr17G000170	GO:0006334
Chr17G000170	GO:0006355
Chr17G000170	GO:0008283
Chr17G000170	GO:0009555
Chr17G000170	GO:0009933
Chr17G000170	GO:0010026
Chr17G000170	GO:0031507
Chr17G000170	GO:0033186
Chr17G000170	GO:0048366
Chr14G005690	GO:0004375
Chr14G005690	GO:0005524
Chr14G005690	GO:0005739
Chr14G005690	GO:0006546
Chr14G005690	GO:0009941
Chr14G005690	GO:0030170
Chr14G005690	GO:0046686
Chr14G005690	GO:0048046
Chr14G005690	GO:0055114
Chr30G005090	GO:0005739
Chr30G005090	GO:0009987
Chr30G005090	GO:0044765
Chr15G001390	GO:0005634
Chr15G001390	GO:0006355
Chr15G001390	GO:0046983
Chr0G032230	GO:0003677
Chr0G032230	GO:0006355
Chr0G032230	GO:0050896
Chr29G002730	GO:0003677
Chr29G002730	GO:0006355
Chr29G002730	GO:0050896
Chr09G022290	GO:0000023
Chr09G022290	GO:0009941
Chr09G022290	GO:0016787
Chr09G022290	GO:0019252
Chr09G022290	GO:0043085
Chr30G010930	GO:0004221
Chr30G010930	GO:0005634
Chr30G010930	GO:0006281
Chr30G010930	GO:0006511
Chr30G010930	GO:0010228
Chr30G010930	GO:0018024
Chr30G010930	GO:0034968
Chr07G009780	GO:0004842
Chr07G009780	GO:0008270
Chr07G009780	GO:0016567
Chr26G013710	GO:0008270
Chr26G013710	GO:0016023
Chr26G001660	GO:0008270
Chr26G001660	GO:0016023
Chr27G004580	GO:0008270
Chr27G004580	GO:0016023
